"","project","language","article","access","agent","granularity","date","views"
"1","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-01,2
"2","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-02,11
"3","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-03,11
"4","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-04,6
"5","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-05,2
"6","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-06,3
"7","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-07,6
"8","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-08,18
"9","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-09,5
"10","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-10,12
"11","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-11,10
"12","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-12,6
"13","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-13,10
"14","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-14,2
"15","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-15,1
"16","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-16,2
"17","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-17,2
"18","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-18,2
"19","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-19,6
"20","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-20,3
"21","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-21,8
"22","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-22,5
"23","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-23,5
"24","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-24,4
"25","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-25,2
"26","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-26,2
"27","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-27,4
"28","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-28,4
"29","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-29,9
"30","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-30,3
"31","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-07-31,1
"32","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-01,6
"33","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-02,4
"34","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-03,5
"35","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-04,7
"36","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-05,5
"37","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-06,10
"38","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-07,7
"39","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-08,13
"40","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-09,7
"41","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-10,11
"42","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-11,5
"43","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-12,9
"44","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-13,7
"45","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-14,9
"46","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-15,7
"47","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-16,10
"48","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-17,8
"49","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-18,7
"50","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-19,8
"51","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-20,10
"52","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-21,14
"53","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-22,16
"54","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-23,19
"55","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-24,11
"56","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-25,10
"57","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-26,11
"58","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-27,10
"59","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-28,18
"60","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-29,15
"61","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-30,13
"62","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-08-31,10
"63","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-09-01,13
"64","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-09-02,21
"65","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-09-03,9
"66","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-09-04,15
"67","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-09-05,17
"68","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-09-06,16
"69","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-09-07,13
"70","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-09-08,20
"71","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-09-09,10
"72","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-09-10,15
"73","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2015-09-11,8
