"","project","language","article","access","agent","granularity","date","views"
"74","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-12,1489
"75","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-13,1902
"76","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-14,1893
"77","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-15,1942
"78","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-16,1774
"79","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-17,1651
"80","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-18,1742
"81","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-19,1671
"82","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-20,1623
"83","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-21,1569
"84","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-22,1924
"85","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-23,1759
"86","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-24,1482
"87","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-25,1687
"88","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-26,1653
"89","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-27,1692
"90","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-28,1780
"91","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-29,1897
"92","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-30,2580
"93","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-01,2762
"94","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-02,2388
"95","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-03,1860
"96","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-04,1768
"97","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-05,1857
"98","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-06,1731
"99","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-07,1805
"100","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-08,1887
"101","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-09,1608
"102","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-10,1538
"103","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-11,1966
"104","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-12,1688
"105","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-13,1680
"106","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-14,1681
"107","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-15,1909
"108","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-16,1865
"109","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-17,1583
"110","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-18,1924
"111","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-19,2079
"112","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-20,1801
