103.255.6.68
امین اکبر
103.7.77.73
Shuaib-bot
علی ضیاء پاشا
UrduBot
BukhariBot
Obaid Raza
CommonsDelinker
92.12.204.97
Obaid-bot
Naqvibot
ساجد امجد ساجد
Tahir-bot
