علی ضیاء پاشا
Obaid Raza
92.12.204.97
UrduBot
103.7.77.73
BukhariBot
CommonsDelinker
UsmanKhan
Obaid-bot
119.160.116.203
Naqvibot
Tahir mq
Shuaib-bot
ساجد امجد ساجد
Tahir-bot
103.255.6.68
امین اکبر
