Rank,Username,Links,Edits,Minor edits,Minor edits %,First edit,Latest edit,atbe,Added (bytes)
21,2409:4063:2093:541D:7A63:7586:F8A4:8AD5,Top Edits · Edit Counter,1,0,0%,6/7/2019 4:11,6/7/2019 4:11,0,0
22,47.9.94.212,Top Edits · Edit Counter,1,0,0%,6/3/2019 19:53,6/3/2019 19:53,0,0
23,Ravi91600,Top Edits · Edit Counter,1,0,0%,5/27/2019 14:37,5/27/2019 14:37,0,0
24,2409:4043:2000:CAA4:0:0:10C5:D0A4,Top Edits · Edit Counter,1,0,0%,4/8/2019 14:55,4/8/2019 14:55,0,0
25,2409:4052:795:297F:0:0:1768:80AD,Top Edits · Edit Counter,1,0,0%,2/17/2019 11:41,2/17/2019 11:41,0,52
26,27.56.254.177,Top Edits · Edit Counter,1,0,0%,2/15/2019 10:23,2/15/2019 10:23,0,0
27,Chaudhary Randhir Singh,Top Edits · Edit Counter,1,0,0%,10/11/2018 17:28,10/11/2018 17:28,0,0
28,Mohityaduvanshikumar,Top Edits · Edit Counter,1,0,0%,7/1/2018 15:29,7/1/2018 15:29,0,0
29,223.187.173.175,Top Edits · Edit Counter,1,0,0%,5/26/2018 8:22,5/26/2018 8:22,0,0
30,ArmouredCyborg,Top Edits · Edit Counter,1,0,0%,5/12/2018 12:26,5/12/2018 12:26,0,0
31,103.74.145.205,Top Edits · Edit Counter,1,0,0%,5/12/2018 12:20,5/12/2018 12:20,0,0
32,2401:4900:1883:CA63:3B5B:EA9F:2C0F:1A3F,Top Edits · Edit Counter,1,0,0%,2/9/2018 7:01,2/9/2018 7:01,0,0
33,2405:205:A0CB:26B3:C581:2D72:A6BD:CD97,Top Edits · Edit Counter,1,0,0%,1/4/2018 18:13,1/4/2018 18:13,0,0
34,2405:205:A023:45D8:34B3:7FFB:163E:72FC,Top Edits · Edit Counter,1,0,0%,11/1/2017 16:17,11/1/2017 16:17,0,0
35,Dharmadhyaksha,Top Edits · Edit Counter,1,0,0%,6/8/2017 5:22,6/8/2017 5:22,0,68
36,223.230.190.228,Top Edits · Edit Counter,1,0,0%,5/10/2017 12:31,5/10/2017 12:31,0,0
37,Charan Gill,Top Edits · Edit Counter,1,0,0%,4/24/2017 15:27,4/24/2017 15:27,0,0
38,Gliese585,Top Edits · Edit Counter,1,0,0%,3/30/2017 16:17,3/30/2017 16:17,0,"8,822"
39,106.51.138.109,Top Edits · Edit Counter,1,0,0%,8/27/2016 3:53,8/27/2016 3:53,0,0
40,49.14.48.234,Top Edits · Edit Counter,1,0,0%,8/5/2016 5:18,8/5/2016 5:18,0,809
41,?????? ????,Top Edits · Edit Counter,1,0,0%,7/13/2016 14:10,7/13/2016 14:10,0,13
