timestamp,size,year,month,day
2019-10-20 22:45:36,365153,2019,10,Sunday
2019-10-20 17:51:10,365156,2019,10,Sunday
2019-10-14 19:14:01,365153,2019,10,Monday
2019-10-07 09:34:41,365025,2019,10,Monday
2019-09-30 09:10:59,365672,2019,9,Monday
2019-09-21 21:52:09,365642,2019,9,Saturday
2019-09-19 01:42:36,365627,2019,9,Thursday
2019-09-12 06:40:13,365530,2019,9,Thursday
2019-09-11 20:52:19,365307,2019,9,Wednesday
2019-09-05 06:04:10,365110,2019,9,Thursday
2019-09-03 02:34:28,365050,2019,9,Tuesday
2019-09-03 02:31:31,365134,2019,9,Tuesday
2019-09-02 19:55:34,365050,2019,9,Monday
2019-09-02 03:39:33,365046,2019,9,Monday
2019-08-31 08:44:59,365046,2019,8,Saturday
2019-08-29 14:45:29,364833,2019,8,Thursday
2019-08-29 14:43:58,364842,2019,8,Thursday
2019-08-28 09:58:32,364862,2019,8,Wednesday
2019-08-27 03:22:13,364839,2019,8,Tuesday
2019-08-26 11:45:28,364839,2019,8,Monday
2019-08-26 11:42:07,364808,2019,8,Monday
2019-08-26 11:34:37,367194,2019,8,Monday
2019-08-26 02:41:35,367112,2019,8,Monday
2019-08-26 02:35:11,365489,2019,8,Monday
2019-08-26 02:27:51,364310,2019,8,Monday
2019-08-26 02:27:05,364311,2019,8,Monday
2019-08-25 20:47:57,358387,2019,8,Sunday
2019-08-25 15:36:50,360759,2019,8,Sunday
2019-08-25 15:36:05,360759,2019,8,Sunday
2019-08-25 15:34:06,360724,2019,8,Sunday
2019-08-24 16:55:05,358387,2019,8,Saturday
2019-08-24 14:26:59,358371,2019,8,Saturday
2019-08-20 01:41:56,358394,2019,8,Tuesday
2019-08-16 12:51:53,358291,2019,8,Friday
