lang,pearson,offset
en,-0.020185142051043634,-14
en,-0.021960877666446613,-13
en,-0.020736631893689354,-12
en,0.044109125956767095,-11
en,0.09044183662725719,-10
en,0.04976145358199148,-9
en,0.13731763321176463,-8
en,0.4029693094104118,-7
en,0.1968041860496249,-6
en,0.25742462927863374,-5
en,0.277205742517722,-4
en,0.3982467114380112,-3
en,0.4733559571891709,-2
en,0.445033116383529,-1
en,0.4211300351486409,0
en,0.5666863916629127,1
en,0.6536615005429071,2
en,0.6361786119767541,3
en,0.5043753036514118,4
en,0.44336665026474076,5
en,0.44451123903176554,6
en,0.3719697528477112,7
en,0.3942676025213393,8
en,0.311503518616996,9
en,0.29424963187502173,10
en,0.2916924276444116,11
en,0.27301260107577763,12
en,0.28033230920632357,13
en,0.24564126768504405,14
hi,-0.006434631335465517,-14
hi,-0.0020222086819150754,-13
hi,0.3299011284499777,-12
hi,0.07724878118795461,-11
hi,0.028178822541013362,-10
hi,0.022311740864429472,-9
hi,0.24499434931569192,-8
hi,0.08224536687505375,-7
hi,0.045132170242882325,-6
hi,0.5875451552709079,-5
hi,0.15905972152189532,-4
hi,0.07153401386827148,-3
hi,0.06091864338532426,-2
hi,0.270370999721901,-1
hi,0.5344139085525595,0
hi,0.15774861439861768,1
hi,0.07708279675528337,2
hi,0.05853687917208917,3
hi,0.041525500903844915,4
hi,0.030399940129857427,5
hi,0.024360668704105776,6
hi,0.020246957711474816,7
hi,0.019464613993931592,8
hi,0.01467045992981892,9
hi,0.012795548338527479,10
hi,0.010773212439768358,11
hi,0.007193424654755543,12
hi,0.023827649940091705,13
hi,0.003988679484241274,14
ur,0.032875880950702284,-14
ur,0.01398755923311378,-13
ur,0.012146051262362817,-12
ur,0.010218432255397605,-11
ur,-0.029475163756962946,-10
ur,-0.022819571134173666,-9
ur,-0.01128753483903745,-8
ur,0.008658679754412393,-7
ur,-0.006366342198468004,-6
ur,-0.000852003731810889,-5
ur,-0.005167581645924998,-4
ur,0.10551923476785272,-3
ur,0.049523467171575825,-2
ur,0.047316267134601284,-1
ur,0.09231627520050686,0
ur,0.4855607346918009,1
ur,0.3289205568443727,2
ur,0.2508093214911213,3
ur,0.286314428469872,4
ur,0.19608968602975282,5
ur,0.11588991497186908,6
ur,0.11505450069001624,7
ur,0.10210557932129548,8
ur,0.12967425062244292,9
ur,0.12466176493132529,10
ur,0.1509773148096933,11
ur,0.07161295803366262,12
ur,0.05574008667845651,13
ur,0.04028492246417682,14
