,project,article,granularity,access,agent,views,date
77,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,11,2018-03-19
78,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-03-20
79,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,16,2018-03-21
80,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,5,2018-03-22
81,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-03-23
82,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,8,2018-03-24
83,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,8,2018-03-25
84,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-03-26
85,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,21,2018-03-27
86,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-03-28
87,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,13,2018-03-29
88,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,18,2018-03-30
89,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,5,2018-03-31
90,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,8,2018-04-01
91,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,16,2018-04-02
92,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,18,2018-04-03
93,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,20,2018-04-04
94,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,15,2018-04-05
95,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,22,2018-04-06
96,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,11,2018-04-07
97,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,18,2018-04-08
98,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,9,2018-04-09
99,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,13,2018-04-10
100,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,13,2018-04-11
101,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,11,2018-04-12
102,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,4,2018-04-13
103,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,17,2018-04-14
104,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,13,2018-04-15
105,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,13,2018-04-16
106,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,9,2018-04-17
107,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-04-18
108,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,14,2018-04-19
109,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,14,2018-04-20
110,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-04-21
111,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,5,2018-04-22
112,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,8,2018-04-23
113,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,15,2018-04-24
114,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,8,2018-04-25
115,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,20,2018-04-26
116,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,14,2018-04-27
117,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,8,2018-04-28
118,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,14,2018-04-29
119,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,9,2018-04-30
120,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,8,2018-05-01
121,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,1,2018-05-02
122,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,6,2018-05-03
123,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,6,2018-05-04
124,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,10,2018-05-05
125,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,15,2018-05-06
126,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,10,2018-05-07
127,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,5,2018-05-08
128,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,14,2018-05-09
129,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,8,2018-05-10
130,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,15,2018-05-11
131,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,14,2018-05-12
132,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,6,2018-05-13
133,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,4,2018-05-14
134,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,13,2018-05-15
135,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,8,2018-05-16
136,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,9,2018-05-17
137,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,9,2018-05-18
138,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,5,2018-05-19
139,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,9,2018-05-20
140,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,9,2018-05-21
141,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,16,2018-05-22
142,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,17,2018-05-23
143,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,11,2018-05-24
144,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,15,2018-05-25
145,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,18,2018-05-26
146,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,7,2018-05-27
147,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,13,2018-05-28
148,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-05-29
149,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,8,2018-05-30
150,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,8,2018-05-31
151,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,18,2018-06-01
152,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,13,2018-06-02
153,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,13,2018-06-03
154,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,15,2018-06-04
155,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,9,2018-06-05
156,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,10,2018-06-06
157,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,15,2018-06-07
158,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-06-08
159,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,11,2018-06-09
160,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,11,2018-06-10
161,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,5,2018-06-11
162,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,14,2018-06-12
163,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,6,2018-06-13
164,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,8,2018-06-14
165,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,8,2018-06-15
166,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,4,2018-06-16
167,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,6,2018-06-17
168,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,6,2018-06-18
169,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,9,2018-06-19
170,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,13,2018-06-20
171,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,21,2018-06-21
172,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-06-22
173,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,4,2018-06-23
174,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,19,2018-06-24
175,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,7,2018-06-25
176,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,14,2018-06-26
177,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,8,2018-06-27
178,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,7,2018-06-28
179,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,18,2018-06-29
180,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,9,2018-06-30
181,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,8,2018-07-01
