,project,article,granularity,access,agent,views,date
339,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,15,2018-12-06
340,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-12-07
341,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,20,2018-12-08
342,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,11,2018-12-09
343,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,19,2018-12-10
344,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,15,2018-12-11
345,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,36,2018-12-12
346,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,34,2018-12-13
347,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,13,2018-12-14
348,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-12-15
349,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-12-16
350,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,20,2018-12-17
351,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,19,2018-12-18
352,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-12-19
353,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,15,2018-12-20
354,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,21,2018-12-21
355,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,16,2018-12-22
356,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,21,2018-12-23
357,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-12-24
358,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,11,2018-12-25
359,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,11,2018-12-26
360,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,7,2018-12-27
361,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,10,2018-12-28
362,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-12-29
363,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,18,2018-12-30
364,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,21,2018-12-31
365,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,9,2019-01-01
