date,views
6/20/2016,3
6/21/2016,15
6/22/2016,7
6/23/2016,4
6/24/2016,4
6/25/2016,10
6/26/2016,10
6/27/2016,10
6/28/2016,8
6/29/2016,6
6/30/2016,13
7/1/2016,6
7/2/2016,2
7/3/2016,10
7/4/2016,10
7/5/2016,2
7/6/2016,3
7/7/2016,4
7/8/2016,4
7/9/2016,2
7/10/2016,15
7/11/2016,18
7/12/2016,32
7/13/2016,27
7/14/2016,39
7/15/2016,33
7/16/2016,21
7/17/2016,19
7/18/2016,21
7/19/2016,25
7/20/2016,52
7/21/2016,24
7/22/2016,16
7/23/2016,22
7/24/2016,38
7/25/2016,21
7/26/2016,26
7/27/2016,13
7/28/2016,12
7/29/2016,14
7/30/2016,18
7/31/2016,12
8/1/2016,13
8/2/2016,16
8/3/2016,18
8/4/2016,23
8/5/2016,16
8/6/2016,13
8/7/2016,9
8/8/2016,15
8/9/2016,19
8/10/2016,14
8/11/2016,9
8/12/2016,25
8/13/2016,8
8/14/2016,20
8/15/2016,17
8/16/2016,20
8/17/2016,14
8/18/2016,17
8/19/2016,14
8/20/2016,26
8/21/2016,19
8/22/2016,17
8/23/2016,9
8/24/2016,15
8/25/2016,20
8/26/2016,9
8/27/2016,11
8/28/2016,9
8/29/2016,25
8/30/2016,15
8/31/2016,31
9/1/2016,10
9/2/2016,9
9/3/2016,5
9/4/2016,7
9/5/2016,12
9/6/2016,24
9/7/2016,20
9/8/2016,18
9/9/2016,1
9/10/2016,8
9/11/2016,10
9/12/2016,7
9/13/2016,1
9/14/2016,11
9/15/2016,2
9/16/2016,6
9/17/2016,7
9/18/2016,10
9/19/2016,17
9/20/2016,27
9/21/2016,27
9/22/2016,28
9/23/2016,26
9/24/2016,22
9/25/2016,43
9/26/2016,35
9/27/2016,43
9/28/2016,42
9/29/2016,24
9/30/2016,41
10/1/2016,25
10/2/2016,15
10/3/2016,26
10/4/2016,41
10/5/2016,30
10/6/2016,33
10/7/2016,26
10/8/2016,15
10/9/2016,31
10/10/2016,23
10/11/2016,19
10/12/2016,9
10/13/2016,25
10/14/2016,19
10/15/2016,21
10/16/2016,20
10/17/2016,15
10/18/2016,12
10/19/2016,9
10/20/2016,29
10/21/2016,15
10/22/2016,13
10/23/2016,10
10/24/2016,20
10/25/2016,17
10/26/2016,32
10/27/2016,24
10/28/2016,9
10/29/2016,16
10/30/2016,12
10/31/2016,7
11/1/2016,18
