date,views
9/15/2019,77
9/16/2019,58
9/17/2019,71
9/18/2019,42
9/19/2019,84
9/20/2019,50
9/21/2019,43
9/22/2019,56
9/23/2019,64
9/24/2019,69
9/25/2019,69
9/26/2019,78
9/27/2019,73
9/28/2019,59
9/29/2019,53
9/30/2019,88
10/1/2019,55
10/2/2019,54
10/3/2019,48
10/4/2019,67
10/5/2019,48
10/6/2019,51
10/7/2019,52
10/8/2019,69
10/9/2019,49
10/10/2019,61
10/11/2019,73
10/12/2019,47
10/13/2019,53
10/14/2019,53
10/15/2019,35
10/16/2019,31
10/17/2019,42
10/18/2019,44
10/19/2019,39
10/20/2019,33
10/21/2019,42
10/22/2019,51
10/23/2019,80
10/24/2019,75
10/25/2019,55
10/26/2019,45
10/27/2019,40
10/28/2019,40
10/29/2019,48
10/30/2019,
